trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
40,False,"{'a': 0.5, 'e': 0.9784458781847165}",20,0,5.473897132176338,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.9773588366690988}",25,0,25.94392273999646,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
42,False,"{'a': 0.5, 'e': 0.9762453674300882}",25,0,-6.756836207301498,"{0: 19, 1: 6, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.9751055005758249}",25,0,33.66680767200989,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.9739392669282393}",20,0,17.318292255261476,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.9727466980222181}",20,0,27.55976034936183,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
46,False,"{'a': 0.5, 'e': 0.971527826104752}",25,0,17.31323744229177,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
47,False,"{'a': 0.5, 'e': 0.9702826841340633}",30,0,19.990909028493142,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.969011305778715}",35,0,20.07826827473127,"{0: 31, 1: 4, 2: 0, 3: 0, 4: 0}",0
49,False,"{'a': 0.5, 'e': 0.9677137254167003}",25,0,15.596566630251447,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.9663899781345132}",20,0,8.330451943638373,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.5, 'e': 0.9650400997261996}",25,0,5.36111898411991,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.9636641266923894}",20,0,23.08441691426444,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.9622620962393096}",30,0,23.29459026791904,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.5, 'e': 0.9608340462777781}",20,5,15.244187004168516,"{0: 12, 1: 3, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.9593800154221791}",25,0,28.40759386386684,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.957900042989418}",20,0,14.941453189159976,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.9563941689978595}",25,0,17.750110645236614,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
58,False,"{'a': 0.5, 'e': 0.9548624341662444}",25,0,34.98197084956694,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.9533048799125894}",25,0,20.719406514893336,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.9517215483530664}",25,0,18.025980037802853,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
61,False,"{'a': 0.5, 'e': 0.9501124823008644}",20,0,5.385117210229394,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
62,False,"{'a': 0.5, 'e': 0.9484777252650315}",30,0,30.830408270283307,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.5, 'e': 0.9468173214492982}",30,0,32.11588210448653,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.9451313157508825}",30,0,24.979159708020838,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.9434197537592759}",25,0,26.733807824015557,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.5, 'e': 0.9416826817550104}",20,0,23.590519095228423,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.9399201467084068}",25,0,22.530060614534236,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
68,False,"{'a': 0.5, 'e': 0.9381321962783058}",20,0,10.67076121749112,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.9363188788107778}",20,0,2.333023780963301,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.9344802433378168}",20,0,28.332894854136487,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.5, 'e': 0.9326163395760139}",30,0,42.34747008791861,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
72,False,"{'a': 0.5, 'e': 0.9307272179252132}",30,13,29.669805909619168,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.9288129294671491}",20,0,17.509128185081753,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.9268735259640649}",25,0,15.501757086487208,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.9249090598573131}",20,0,25.438565534526813,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.5, 'e': 0.9229195842659375}",20,0,7.1621104393796315,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.5, 'e': 0.9209051529852369}",25,0,18.531897764790457,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.9188658204853104}",25,0,37.91648709040776,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.5, 'e': 0.9168016419095846}",20,0,17.974489878980854,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.9147126730733224}",30,0,37.65992862743463,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.5, 'e': 0.9125989704621137}",25,0,13.339959873897069,"{0: 20, 1: 5, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.9104605912303484}",25,0,26.8493437336237,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.9082975931996707}",20,0,4.864464678238816,"{0: 15, 1: 5, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.5, 'e': 0.9061100348574156}",25,0,24.136120234337774,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.5, 'e': 0.9038979753550274}",20,0,16.17629285202579,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.90166147450646}",20,0,5.75194797741216,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.5, 'e': 0.8994005927865603}",20,0,18.911776217365734,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.8971153913294322}",25,0,14.52516725978122,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.8948059319267838}",25,0,28.99700184897352,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.5, 'e': 0.8924722770262568}",30,0,22.85532787812377,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.5, 'e': 0.8901144897297374}",30,0,39.07748790258857,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.5, 'e': 0.8877326337916505}",20,0,20.912917547472762,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.5, 'e': 0.8853267736172353}",25,0,24.154873287801248,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
94,False,"{'a': 0.5, 'e': 0.8828969742608047}",20,0,24.199350271078195,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
95,False,"{'a': 0.5, 'e': 0.880443301423985}",20,0,22.203860314780876,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.5, 'e': 0.8779658214539403}",30,0,19.49320008142505,"{0: 26, 1: 4, 2: 0, 3: 0, 4: 0}",0
97,False,"{'a': 0.5, 'e': 0.875464601341578}",25,0,29.505404854519654,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.5, 'e': 0.8729397087197375}",20,0,23.645108537217183,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.8703912118613616}",20,0,9.889837301163572,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.5, 'e': 0.8678191796776499}",25,0,24.883824412762998,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
101,False,"{'a': 0.5, 'e': 0.865223681716196}",20,12,16.705168361118023,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.5, 'e': 0.8626047881591067}",20,0,24.180387765010618,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.5, 'e': 0.8599625698211042}",25,0,-1.2025513887745485,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.8572970981476112}",20,0,27.511123513079312,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
105,False,"{'a': 0.5, 'e': 0.8546084452128195}",30,0,18.551546981938525,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
106,False,"{'a': 0.5, 'e': 0.8518966837177406}",20,0,13.410415399213685,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
107,False,"{'a': 0.5, 'e': 0.8491618869882401}",20,0,18.001377640099577,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.8464041289730551}",20,0,4.331380517059868,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.5, 'e': 0.843623484241794}",20,0,25.71749967896023,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
110,False,"{'a': 0.5, 'e': 0.840820027982921}",30,6,34.657685861302404,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.5, 'e': 0.8379938360017226}",30,18,15.076594181218944,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.8351449847182578}",30,0,32.182828733366776,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
113,False,"{'a': 0.5, 'e': 0.8322735511652917}",20,10,22.846004760952923,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.8293796129862124}",25,0,29.27563497977146,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.5, 'e': 0.8264632484329323}",20,0,29.307420007690315,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.823524536363771}",20,0,13.477906508973557,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.5, 'e': 0.8205635562413238}",30,0,28.405360096379884,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
118,False,"{'a': 0.5, 'e': 0.817580388130313}",25,0,44.37417716857922,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.8145751126954222}",25,0,21.90625889969717,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.8115478111991162}",25,0,21.493288802922883,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
121,False,"{'a': 0.5, 'e': 0.8084985654994432}",25,0,27.863288031861,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.8054274580478209}",20,0,8.672415319219262,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.8023345718868078}",30,0,26.38690424732851,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.7992199906478571}",25,0,7.295813304149109,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.5, 'e': 0.7960837985490559}",20,15,12.132560062661785,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.7929260803928473}",20,9,19.38347800575304,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.5, 'e': 0.7897469215637379}",25,0,17.873783235120133,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.7865464080259889}",20,0,15.98885990322512,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
129,False,"{'a': 0.5, 'e': 0.7833246263212912}",25,0,38.046495696687856,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.7800816635664257}",25,0,24.67952662270135,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.7768176074509079}",25,0,17.4246783038673,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.5, 'e': 0.7735325462346161}",20,0,23.904022975310717,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.7702265687454055}",25,0,37.09113487127,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.5, 'e': 0.766899764376706}",25,0,33.040214599764774,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.7635522230851052}",25,0,16.780508095749596,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.5, 'e': 0.7601840353879152}",20,0,29.78735641944776,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.5, 'e': 0.7567952923607266}",25,0,37.18282174655613,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.753386085634944}",20,0,29.928315364782982,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.7499565073953098}",20,16,8.529650870989478,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.5, 'e': 0.7465066503774105}",30,0,39.76510286069585,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.7430366078651698}",30,0,36.25886281013622,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.5, 'e': 0.7395464736883257}",25,0,36.36478058331205,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.7360363422198936}",25,9,30.21149671588565,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.7325063083736146}",25,0,35.98418361421845,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.7289564676013889}",30,0,33.2786596712712,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
146,False,"{'a': 0.5, 'e': 0.7253869158906946}",20,0,20.436989088326076,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
147,False,"{'a': 0.5, 'e': 0.7217977497619925}",20,0,27.359013211835155,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.5, 'e': 0.7181890662661161}",20,0,2.933502066181079,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
149,False,"{'a': 0.5, 'e': 0.7145609629816472}",25,0,33.334487839860515,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
150,False,"{'a': 0.5, 'e': 0.7109135380122774}",20,0,29.408409091814157,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.7072468899841557}",20,8,20.957075637323705,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.7035611180432217}",20,0,31.356454414177016,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.6998563218525238}",20,0,13.471305029143437,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
154,False,"{'a': 0.5, 'e': 0.6961326015895252}",20,12,20.102158624934823,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.5, 'e': 0.692390057943395}",20,0,25.402206012288822,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.5, 'e': 0.6886287921122854}",30,0,45.53782332716273,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.6848489058005953}",20,8,28.56150552224208,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.6810505012162203}",30,0,30.22972050557214,"{0: 27, 1: 3, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.6772336810677889}",25,0,19.710453159341675,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.5, 'e': 0.6733985485618853}",20,6,7.363564604612533,"{0: 11, 1: 3, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.5, 'e': 0.6695452074002588}",20,10,7.516410403249344,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.5, 'e': 0.6656737617770196}",25,0,15.955338613957371,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.5, 'e': 0.6617843163758217}",25,6,27.616422235816316,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.5, 'e': 0.6578769763670312}",30,3,42.26011011828968,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.5, 'e': 0.6539518474048845}",25,16,18.24802998476581,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.5, 'e': 0.6500090356246293}",30,0,12.726797754867807,"{0: 25, 1: 5, 2: 0, 3: 0, 4: 0}",0
167,False,"{'a': 0.5, 'e': 0.6460486476396559}",25,0,29.52614000096436,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.642070790538614}",20,0,21.348596209383093,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.6380755718825175}",25,0,24.89913923679383,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.6340630997018352}",20,0,13.739039693669392,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
