trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
213,False,"{'a': 0.5, 'e': 0.44680991089909633}",20,0,29.281514566996723,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
214,False,"{'a': 0.5, 'e': 0.44215182062685754}",20,0,25.482188657515863,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
215,False,"{'a': 0.5, 'e': 0.4374817745963295}",20,8,32.5142420933618,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.5, 'e': 0.432799899085272}",20,7,29.082742240919618,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
217,False,"{'a': 0.5, 'e': 0.42810632069131394}",35,22,26.45093273277653,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
218,False,"{'a': 0.5, 'e': 0.42340116632852876}",20,15,13.367642649944255,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.5, 'e': 0.41868456322400394}",20,9,22.363073505110656,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
220,False,"{'a': 0.5, 'e': 0.4139566389144002}",20,0,31.830099247856207,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
221,False,"{'a': 0.5, 'e': 0.40921752124250244}",20,0,35.290818489882675,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
222,False,"{'a': 0.5, 'e': 0.4044673383537641}",20,0,31.955408698935027,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
223,False,"{'a': 0.5, 'e': 0.39970621869284073}",20,0,29.721729057799916,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
224,False,"{'a': 0.5, 'e': 0.394934291000118}",20,5,23.355091372425996,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
225,False,"{'a': 0.5, 'e': 0.3901516843082303}",25,0,19.060953322511196,"{0: 21, 1: 4, 2: 0, 3: 0, 4: 0}",0
226,False,"{'a': 0.5, 'e': 0.3853585279385706}",25,6,25.52765077629573,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 0}",1
227,False,"{'a': 0.5, 'e': 0.38055495149779556}",25,3,32.73977366576617,"{0: 21, 1: 1, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 0.5, 'e': 0.3757410848743191}",25,16,21.45455006599833,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 0.5, 'e': 0.37091705823480176}",25,15,14.893236168122668,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 0.5, 'e': 0.36608300202062954}",20,0,37.83317506938741,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
231,False,"{'a': 0.5, 'e': 0.3612390469443882}",20,14,16.19748625702432,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 0.5, 'e': 0.35638532398632794}",35,9,49.85184573024762,"{0: 25, 1: 1, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 0.5, 'e': 0.3515219643908215}",20,5,30.704528154875643,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 0.5, 'e': 0.34664909966281643}",30,19,16.79964077282302,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 0.5, 'e': 0.3417668615642776}",20,8,22.84907638183046,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
236,False,"{'a': 0.5, 'e': 0.3368753821106262}",25,17,13.425359475838103,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 0.5, 'e': 0.3319747935671681}",30,14,20.04142534776267,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 0.5, 'e': 0.3270652284455192}",20,11,21.888894048258123,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 0.5, 'e': 0.3221468195000215}",30,21,22.649667302490965,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
